equipment_id,equipment_type,model,serial_number,site_code,status,hourly_rate_usd
CAT-EQ-1001,EXCAVATOR,Cat 320 GC Hydraulic Excavator,CAT000100X,S-CAT-BLR01,AVAILABLE,150.0
CAT-EQ-1002,EXCAVATOR,Cat 336 Heavy Excavator,CAT000101X,S-CAT-HYD02,RENTED,220.0
CAT-EQ-1003,BULLDOZER,Cat D6T XL Track-Type Tractor,CAT000102X,S-CAT-MUM03,AVAILABLE,180.0
CAT-EQ-1004,BULLDOZER,Cat D8T Heavy Crawler Dozer,CAT000103X,S-CAT-KOL04,RENTED,250.0
CAT-EQ-1005,WHEEL_LOADER,Cat 950M Medium Wheel Loader,CAT000104X,S-CAT-DEL05,AVAILABLE,140.0
CAT-EQ-1006,WHEEL_LOADER,Cat 980M High-Lift Wheel Loader,CAT000105X,S-CAT-BLR01,RENTED,190.0
CAT-EQ-1007,DUMP_TRUCK,Cat 745 Articulated Mining Truck,CAT000106X,S-CAT-HYD02,AVAILABLE,210.0
CAT-EQ-1008,DUMP_TRUCK,Cat 777G Off-Highway Haul Truck,CAT000107X,S-CAT-MUM03,RENTED,300.0
CAT-EQ-1009,COMPACTOR,Cat CS56B Vibratory Soil Compactor,CAT000108X,S-CAT-KOL04,AVAILABLE,120.0
CAT-EQ-1010,CRANE,Cat TL1255D Heavy Duty Telehandler,CAT000109X,S-CAT-DEL05,RENTED,160.0
